abbort,gugurkan
acces,akses
account,akun
acction button,tombol aksi
action setting,penataan aksi
add-ons,pengaya
address,alamat
align left,rata kiri
align right,rata kanan
alignment,perataan
alternate,silih
animation,animasi
anonymous,anonim
append,bubuh
application,aplikasi
apply,terapkan
arrange,susun
array,larik
ascending,menanjak/urut naik
attribut,atribut
autoformat,otoformat
back slah,garis miring kiri
back up,cadangan
back,balik
background,latar belakang
backtracking,lacak balik
bandwidth,lebar pita
bar,batang
bar,bilah
base,basis
batch,tumpak
binary,tumpak
block,cekal/blokir
blur,kabur
bold,tebal
bookmark,markah/penanda
browse,ramban
browser,peramban
bug,kekutu
bullet,bulet
button,tombol
byte,bita
cache,tembolok/singgahan
cancel,batal
capacity,kapasitas
capslock,kacing kapital
caption,takarir
cartiridge,katrid/selongsong
cascade,riam
cell,sel
channel,kanal
chart,bagan
chatting,rumpi
click,klik
client,klien
cluster,gugus/rumpun
coding,pengodean
collapse,ciutkan
cookie,kuki
count,cacah
crack,rengkah
cracker,perengah
crash,mogok
crop,pangkas
cursor,kursor
daemon,jurik
database,pangkalan data
datasheet,lembar data
debug,awakutu
debugging
decoding,pengawasandian
decrease,kurang/susut
default,asali/baku/bawaan
delete,hapus
descending,menurun/urut turun
device,peranti
directory,direktori
disc,cakram/diska
disclaimer,penafian
domain,ranah
download,unduh
draft,konsep
drag,seret
drive,kandar
driver,pamacu
drop,lepaskan
dropdown,pilihan menurun
edit,sunting
email,surel (surat elektronik)
embed,semat
encryption,enkripsi
error,galat
expand,bentangkan
extension,ekstensi
fetch,jemput/ambil
field,bidang/isian
file,berkas
filter,penyaring
find,temukan
firmware,peranti tegar
folder,pelipat
font,huruf/fonta
gadget,gawai
gateway,gerbang
gigabyte,gigabita
hack,retas
hacker,peretas
hang,macet
hastag,tagar (tanda pagar)
header,tajuk
heading,penajukan
highlight,sorot
history,riwayat
home,beranda
hyperlink,hipertaut
image,citra
import,impor
inbox,kotak masuk
input,masukan
insert,sisip/sisipan
install,pasang/instal
installing,pemasangan
interface,antarmuka
italic,italik/miring
keyboard,papan ketik
keypad,bantalan tombol
kilobyte,kilobita
lanscape,lanskap
laptop,komputer jinjing
launch,luncur
link,taut
list,senarai
load,muat
loading,memuat
lock,kancing
macro,makro
megabyte,megabita
menubar,bilah menu
merge,gabung
mount,kait
mouse,tetikus
network,jaringan
networking,jejaring
numlock,kancing angka
offline,luring (luar jaringan)
online,daring (dalam jaringan)
option,opsi
password,sandi/kata sandi
paste,tempel
pause,jeda
permission,hak akses
picture,gambar
popup,sembulan
port,pangkalan
post,kirim
posting,kiriman
potrait,potret
power,daya
preference,prefersensi
preview,pratinjau/pratayang/pratampil
privacy,privasi
prompt,siap ketik
prototype,purwarupa/prototipe
proxy,proksi/pewali
query,kueri
record,utas/rekam
redo,ulangi
refresh,segarkan
reload,muat ulangi
repeat,ulang
replace,ganti
repository,lumbung
request,permintaan
reset,tata ulang
response,balasan
review,ulasan
save,simpan
scan,pindai
scroll,menggulung
search,cari
selfie,swafoto
server,peladen
setting,setelan/pengaturan
setup,setel
setup,siapkan
sharing,berbagi
shift,alih
slash,garis miring
slide,salindia
split,belah
submit,kirim
subscriber,penika bawah
swipe,gesek
synchronize,menyelaraskan
tap,ketuk
taskbar,batang tugas
template,templat
terms & condition,Syarat dan Ketentuan
thread,utas/ulir
timeline,kronologi/linimasa
tool,perkakas/alat
toolbar,bilah alat
touch,sentuh
trace,runut
undo,urungkan
uninstal,hapus pemasangan/hapus instalasi
unmount,putus kait
update,perbarui
upgrade,tingkatkan
upload,unggah
user,pengguna
username,nama pengguna
view,tampilkan
vulnerable,rentan
web,jaringan
website,laman
window,jendela
wizard,penuntut
zoom,zum
